char;name;unicode;width;height;weight_q1;weight_q2;weight_q3;weight_q4;specific_weight_q1;specific_weight_q2;specific_weight_q3;specific_weight_q4;center_x;center_y;center_x_rel;center_y_rel;inertia_Ix;inertia_Iy;inertia_Ix_norm;inertia_Iy_norm
ა;ani;U+10D0;32;39;30;140;175;174;0.098684;0.460526;0.546875;0.54375;16.9364;22.6378;0.529263;0.580456;61645.9;43026.9;49.3958;34.4767
ბ;bani;U+10D1;36;55;199;170;238;244;0.409465;0.349794;0.472222;0.484127;17.2714;30.3784;0.479762;0.552334;188052.16;91962.3;94.9758;46.4456
გ;gani;U+10D2;36;57;230;261;247;253;0.456349;0.517857;0.47318;0.484674;17.6418;28.5015;0.490049;0.500027;283505.75;105565.83;138.1607;51.4453
დ;doni;U+10D3;56;57;417;357;287;281;0.531888;0.455357;0.353448;0.346059;26.5894;23.5231;0.474811;0.412686;322440.78;343322.77;101.0153;107.5573
ე;eni;U+10D4;34;57;169;236;207;242;0.355042;0.495798;0.419878;0.490872;18.2248;28.3946;0.536024;0.498151;287790.02;103124.83;148.4985;53.212
ვ;vini;U+10D5;35;57;181;268;205;273;0.380252;0.531746;0.415822;0.522989;18.3819;28.3948;0.525196;0.498155;294743.5;99024.82;147.7411;49.6365
ზ;zeni;U+10D6;39;56;332;195;219;257;0.62406;0.348214;0.411654;0.458929;17.7986;27.7458;0.456374;0.49546;259482.17;118897.32;118.8105;54.4402
თ;tani;U+10D7;56;40;276;311;276;208;0.492857;0.555357;0.492857;0.371429;27.2876;18.0766;0.487278;0.451914;154655.72;322977.42;69.0427;144.1864
ი;ini;U+10D8;34;39;168;170;148;156;0.520124;0.526316;0.435294;0.458824;16.4922;17.9268;0.485065;0.459661;84711.56;83258.46;63.885;62.7892
კ;kani;U+10D9;34;57;25;264;200;254;0.052521;0.554622;0.40568;0.515213;20.1009;32.576;0.591204;0.57151;206387.45;69209.43;106.4951;35.7118
ლ;lasi;U+10DA;71;57;486;496;305;182;0.495918;0.492063;0.300493;0.17433;33.0157;21.2035;0.465009;0.371992;370098.14;645822.64;91.45;159.5806
მ;mani;U+10DB;35;56;241;312;234;249;0.506303;0.619048;0.491597;0.494048;17.972;27.221;0.513486;0.48609;279348.38;123800.19;142.5247;63.1634
ნ;nari;U+10DC;34;55;301;198;235;231;0.655773;0.431373;0.493697;0.485294;14.9254;26.8446;0.438982;0.488083;261908.68;109544.63;140.0581;58.58
ო;oni;U+10DD;50;39;267;263;176;169;0.562105;0.553684;0.352;0.338;24.4446;15.7943;0.488891;0.404982;107112.97;242122.06;54.9297;124.1652
პ;pari;U+10DE;34;56;63;234;182;249;0.132353;0.491597;0.382353;0.523109;19.5192;31.8626;0.574095;0.568976;200044.26;61897.73;105.0653;32.5093
ჟ;zhani;U+10DF;36;56;232;312;190;241;0.460317;0.619048;0.376984;0.478175;20.0574;27.2092;0.557151;0.485879;273801.32;114042.78;135.8141;56.5688
რ;rae;U+10E0;50;55;358;250;269;256;0.53037;0.37037;0.384286;0.365714;22.7246;26.4334;0.454492;0.480607;229130.22;281328.08;83.3201;102.3011
ს;sani;U+10E1;34;55;189;91;233;245;0.411765;0.198257;0.489496;0.514706;14.0805;31.9604;0.414132;0.581099;166946.81;98562.09;89.2764;52.707
ტ;tari;U+10E2;48;65;324;305;307;304;0.421875;0.397135;0.387626;0.383838;23.3831;33.375;0.487147;0.513462;407018.62;261843.04;130.4547;83.9241
უ;uni;U+10E3;35;57;191;272;208;246;0.401261;0.539683;0.421907;0.471264;19.3991;27.0142;0.554261;0.473933;319842.82;105497.92;160.3222;52.8812
ფ;phari;U+10E4;54;57;366;417;284;337;0.484127;0.551587;0.362708;0.430396;28.567;25.2094;0.529018;0.44227;397778.44;346296.71;129.2328;112.5071
ქ;kani;U+10E5;34;72;171;328;207;291;0.279412;0.535948;0.338235;0.47549;19.9288;38.668;0.586141;0.537056;428339.11;121779.94;174.9751;49.7467
ღ;ghani;U+10E6;50;57;366;353;253;160;0.522857;0.504286;0.348966;0.22069;23.1935;22.5919;0.463869;0.396349;293909.45;252946.63;103.1261;88.7532
ყ;qari;U+10E7;34;56;247;267;194;236;0.518908;0.560924;0.407563;0.495798;17.4672;28.4142;0.51374;0.507396;250113.05;125616.98;131.3619;65.9753
შ;shini;U+10E8;37;56;243;345;229;258;0.482143;0.648496;0.454365;0.484962;20.0595;26.374;0.54215;0.470963;304253.67;127506.19;146.8406;61.5377
ჩ;chini;U+10E9;34;55;295;211;206;219;0.642702;0.459695;0.432773;0.460084;14.5414;26.0011;0.427687;0.472747;216675.0;108257.16;115.869;57.8915
ც;tsani;U+10EA;40;56;221;281;241;262;0.394643;0.501786;0.430357;0.467857;19.7025;28.6209;0.492562;0.511087;269676.56;171664.04;120.3913;76.6357
ძ;dzili;U+10EB;35;55;120;265;233;247;0.261438;0.545267;0.489496;0.490079;19.3931;30.3584;0.554088;0.551971;182470.9;113078.36;94.7901;58.742
წ;tsili;U+10EC;36;56;331;245;243;232;0.656746;0.486111;0.482143;0.460317;15.4948;26.4206;0.43041;0.471796;300662.12;118696.72;149.138;58.8773
ჭ;chari;U+10ED;35;72;229;340;229;318;0.374183;0.524691;0.374183;0.490741;17.7366;38.0573;0.506759;0.528574;440328.33;107160.55;174.7335;42.524
ხ;khani;U+10EE;34;55;256;120;236;231;0.557734;0.261438;0.495798;0.485294;14.1352;30.3499;0.415742;0.551817;180247.77;105116.58;96.3892;56.2121
ჯ;jani;U+10EF;34;57;176;205;196;266;0.369748;0.430672;0.397566;0.539554;17.2444;30.0724;0.507187;0.527585;249432.59;73807.66;128.7062;38.0844
ჰ;hae;U+10F0;34;55;53;244;182;285;0.115468;0.53159;0.382353;0.598739;20.0013;30.9267;0.588274;0.562304;197809.9;55447.0;105.7807;29.6508
